Country,Year,LE_both,LE_male,LE_female,Income Level,GDP per Capita,Surface area (sq. km),"Population, total",Population density (people per sq. km of land area),"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","Mortality caused by road traffic injury (per 100,000 people)","Intentional homicides (per 100,000 people)",Individuals using the Internet (% of population),"Incidence of tuberculosis (per 100,000 people)","GNI per capita, Atlas method (current US$)",GDP per capita growth (annual %),GDP growth (annual %),CO2 emissions (metric tons per capita),Access to electricity (% of population),CHE_in_USD
Maldives,2016,78.4,77.2,79.9,UM,9871.90691107088,300.0,427756.0,1425.85333333333,26.8618856113532,3.3,0.7549125937035258,59.0925899654109,49.0,8740.0,3.84187224496264,6.16315825655229,3.2695598497968104,100.0,943.9
Mali,2016,58.0,57.5,58.4,L,779.944843827232,1240190.0,17994837.0,14.7475696407936,92.21011675432301,25.3,10.903175976970301,11.1121864890589,56.0,780.0,2.70192216320552,5.79999999505212,0.0832286633976398,35.0694999694824,42.3
Malta,2016,81.5,79.6,83.3,H,24770.806573823706,320.0,455356.0,1422.9875,12.14084394615,5.5,0.9354186934071692,77.2893948185413,13.0,23840.0,2.8496111228568304,5.23058494709528,5.400613957170268,100.0,2304.2
Mauritania,2016,63.9,62.6,65.2,LM,1101.9015292175802,1030700.0,4301018.0,4.17290967303774,123.634584427315,24.2,9.94168576161054,18.0,102.0,1130.0,-0.81446344135307,1.99999906234294,0.6668224276068431,41.652107238769496,53.6
Mauritius,2016,74.8,71.6,78.1,UM,9681.61856689674,2040.0,1263473.0,622.400492610837,14.463053460206801,12.9,1.82194496268657,52.19132593565229,22.0,9780.0,3.72868987872224,3.79999998981377,3.3531104720786296,98.7817840576172,506.1
Mexico,2016,76.6,74.0,79.2,UM,8443.69192417663,1964380.0,127540423.0,65.6089009490985,18.8291038884045,11.8,19.2639600963009,59.5404459967255,22.0,9010.0,1.5823552778903,2.9133282765102595,3.86624111265674,100.0,534.8
Micronesia (Federated States of),2016,69.6,68.4,70.8,LM,3143.74910660682,700.0,104937.0,149.91,8.667210755892059,2.0,4.67464542816926,33.352162552269,177.0,3550.0,-0.5437424109561989,-0.0637604720587319,1.44543575445849,75.435173034668,394.9
Mongolia,2016,69.8,65.7,74.2,LM,3694.0825523463695,1564120.0,3027398.0,1.94868431216046,29.6850012866773,20.8,5.65592151830071,22.265770500756197,183.0,3590.0,-0.446336716960019,1.24320256286998,7.12732634813277,81.775032043457,152.5
Morocco,2016,76.0,74.8,77.0,LM,2892.7755605473603,446550.0,35276786.0,79.04276495630741,25.411984621993398,18.6,1.23838753093742,58.271236420398,103.0,2880.0,-0.15110565281091198,1.2224436474776,1.74437997438202,100.0,159.8
Mozambique,2016,60.1,57.7,62.3,L,382.069457028432,799380.0,28829476.0,36.6609984994532,20.9872268685794,33.1,3.4043058253527003,17.5212390868424,551.0,480.0,0.815975105564775,3.7629430392301697,0.309666606914455,24.198339462280305,28.3
Myanmar,2016,66.8,64.6,68.9,LM,1195.51537205875,676590.0,52885223.0,80.97816959637409,48.8113588116187,19.5,2.2653098527122,25.07330424,361.0,1190.0,4.90794967367123,5.87198222637582,0.41660036165808095,57.0093841552734,59.1
Namibia,2016,63.7,61.1,66.1,UM,4560.70206009082,824290.0,2479713.0,3.01195568997559,25.8924437370798,23.6,17.1383088022884,31.0333459383454,446.0,4720.0,-1.49899066582589,0.7000992179017231,1.58372866715704,51.78242492675779,423.1
Nepal,2016,70.2,68.8,71.6,L,729.122251498504,147180.0,28982771.0,202.181869550052,78.4971334937773,17.3,2.16377918674121,19.688763836629,154.0,730.0,-0.7182527143734491,0.4128918768731471,0.283538525834667,90.7,44.4
Netherlands,2016,81.6,80.0,83.2,H,45637.8867460287,41540.0,17030314.0,505.500563965568,15.230050093030801,3.6,0.5533629041050351,90.41095890410959,5.9,46610.0,1.6674465963552498,2.20994151591842,9.920138075238393,100.0,4746.0
New Zealand,2016,82.2,80.5,84.0,H,40331.9591048227,267710.0,4693200.0,17.8238578101857,5.52544659504709,6.1,0.98539426719513,88.470186347099,7.3,38560.0,1.32186443681044,3.4714568346147,7.6865758254429295,100.0,3553.6
Nicaragua,2016,75.5,72.5,78.4,LM,2143.92589272044,130370.0,6149928.0,51.104603623068,22.7088486773581,14.9,7.367124637274821,24.5718339595365,48.0,2100.0,3.5033640166024305,4.65875919160213,0.8085208555973671,81.7967987060547,162.9
Niger,2016,59.8,59.0,60.8,L,367.955985946299,1267000.0,20672987.0,16.3203497276387,203.74389172404,28.4,4.44403488138769,4.32275803028068,93.0,370.0,0.987015990286608,4.92571448640469,0.111073515505541,16.2172336578369,25.7
Nigeria,2016,55.2,54.7,55.7,LM,2175.67344162233,923770.0,185989640.0,204.211425497107,122.478442019449,20.6,9.848349858305813,25.67,219.0,2450.0,-4.1601066390881805,-1.61686894991816,0.5456221132137551,59.3,97.3
Norway,2016,82.5,80.6,84.3,H,70890.0355687386,385178.0,5234519.0,14.3315281523361,7.8740675988141104,3.3,0.5143052284955271,97.29820366750678,6.1,82010.0,0.23630912070918,1.09146507169045,9.27094513154166,100.0,7464.1
Oman,2016,77.0,75.3,79.5,H,15102.382305353402,309500.0,4424762.0,14.296484652665601,77.9621781041318,25.0,0.6564123279284511,76.85,9.0,16200.0,0.0265040110603678,5.38416593631317,15.4431671894823,100.0,636.5
